date,dis,number,pm25,pm10,o3,no2,so2,co,tm,rh,ph
2013/1/1,SIHD,14,NA,NA,NA,NA,NA,NA,2.9,63,1
2013/1/2,SIHD,12,NA,NA,NA,NA,NA,NA,2.7,70,1
2013/1/3,SIHD,13,NA,NA,NA,NA,NA,NA,-0.4,71,1
2013/1/4,SIHD,7,NA,NA,NA,NA,NA,NA,1,73,0
2013/1/5,SIHD,5,NA,NA,NA,NA,NA,NA,2,75,0
2013/1/6,SIHD,7,NA,NA,NA,NA,NA,NA,2.4,62,0
2013/1/7,SIHD,8,NA,NA,NA,NA,NA,NA,2.9,69,0
2013/1/8,SIHD,8,NA,NA,NA,NA,NA,NA,4.5,62,0
2013/1/9,SIHD,9,NA,NA,NA,NA,NA,NA,4.3,64,0
2013/1/10,SIHD,9,NA,NA,NA,NA,NA,NA,2.2,63,0
2013/1/11,SIHD,11,NA,NA,NA,NA,NA,NA,4,72,0
2013/1/12,SIHD,16,NA,NA,NA,NA,NA,NA,4.9,76,1
2013/1/13,SIHD,4,NA,NA,NA,NA,NA,NA,6.5,85,1
2013/1/14,SIHD,18,NA,NA,NA,NA,NA,NA,5.3,77,0
2013/1/15,SIHD,12,NA,NA,NA,NA,NA,NA,5.3,80,0
2013/1/16,SIHD,6,NA,NA,NA,NA,NA,NA,4,73,0
2013/1/17,SIHD,11,NA,NA,NA,NA,NA,NA,2.2,58,0
2013/1/18,SIHD,4,124.8860759,148.971831,91.65,104.5063291,39.26582278,1.419139241,1.3,59,0
2013/1/19,SIHD,4,86.29707113,98.576,78.6,67.46581197,25.86192469,1.061121339,4.2,71,1
2013/1/20,SIHD,14,37.8173913,60.50793651,117.4875,58.44978166,15.90869565,0.874530435,10.7,79,1
2013/1/21,SIHD,13,111.9953704,181.2195122,28.8625,62.38095238,33.19444444,1.939662037,8.2,86,0
2013/1/22,SIHD,8,106.8831169,121.2992126,80.5875,56.61160714,30.9,1.670443478,4.5,77,0
2013/1/23,SIHD,17,148.5564854,166.1436782,94.0375,75.01731602,53.84518828,1.916129707,4.2,71,0
2013/1/24,SIHD,11,196.8262712,225.3434343,83.0875,91.01271186,61.03389831,2.138190678,2.3,82,0
2013/1/25,SIHD,5,176.8565217,226.8074074,56.5875,85.17410714,52.07826087,1.815630435,3.7,55,0
2013/1/26,SIHD,8,157.3636364,191.7047619,106.2875,82.61849711,59.80571429,1.58412,3.9,75,1
2013/1/27,SIHD,9,39.10833333,53.78666667,85.15,52.15416667,20.27083333,0.726054167,4.5,65,1
2013/1/28,SIHD,11,47.40833333,71.38888889,113.3625,57.25833333,23.00833333,0.805216667,6.3,61,0
2013/1/29,SIHD,17,91.99583333,151.1757576,104,81.23333333,32.25941423,1.398516667,9.7,62,0
2013/1/30,SIHD,16,186.4755556,252.064,130.175,102.8214286,43.00877193,2.308875,8.9,72,0
2013/1/31,SIHD,12,41.04366812,80.77777778,163.5,44.22707424,14.14347826,0.741537445,14.1,69,0
2013/2/1,SIHD,13,80.56666667,79.54819277,98.35,62.4125,19.7875,1.389941667,12.3,86,0
2013/2/2,SIHD,6,57.41176471,64.48704663,69.65,37.61764706,17.91596639,1.225147059,6.5,75,1
2013/2/3,SIHD,10,23.25217391,36.84433962,82.65,33.5877193,12.93043478,0.648252174,10.1,73,1
2013/2/4,SIHD,13,61.70212766,67.58041958,77.1625,44.1125,21.5125,1.029583333,8.8,82,0
2013/2/5,SIHD,9,34.0720339,37.54471545,73.3875,40.06837607,10.99148936,0.843648305,6.7,88,0
2013/2/6,SIHD,7,60.57142857,68.74125874,65,43.66502463,18.82857143,0.98667619,4.4,77,0
2013/2/7,SIHD,5,53.11428571,68.74175824,75.875,28.14761905,28.40384615,0.9261,2.1,75,0
2013/2/8,SIHD,6,22.26086957,29.21666667,81.77777778,21.29207921,11.69565217,0.620178744,-0.9,70,0
2013/2/9,SIHD,5,45.53240741,57.49479167,74.375,27.41509434,18.59259259,0.732601852,1.2,62,1
2013/2/10,SIHD,6,182.912037,199.44,88.01388889,35.25925926,43.27230047,0.963259259,2.3,74,1
2013/2/11,SIHD,13,52.72685185,63.49350649,102.625,23.0787037,17.31481481,0.789361111,5.2,69,1
2013/2/12,SIHD,13,38.12962963,48.72375691,98.29166667,27.15740741,16.48611111,0.814847222,4.5,74,1
2013/2/13,SIHD,11,87.05555556,99.59509202,102.2777778,21.25471698,24.44444444,1.062407407,5.6,59,1
2013/2/14,SIHD,9,77.48148148,108.875,110.0416667,30.61111111,17.89719626,1.006666667,6.7,88,1
2013/2/15,SIHD,12,62.5,92.8057554,96.41666667,25.08796296,16.76388889,1.004083333,6.2,76,1
2013/2/16,SIHD,10,50.77314815,68.96039604,109.2777778,26.87962963,17.28240741,0.902060185,5.8,70,0
2013/2/17,SIHD,10,40.21296296,59.50717703,111.4583333,44.5462963,15.70833333,0.954842593,9.9,77,0
2013/2/18,SIHD,5,47.28095238,60.63768116,76.70833333,34.59903382,13.81642512,0.883821256,6.3,88,0
2013/2/19,SIHD,10,17.5026455,29.88188976,88.81666667,28.59064327,14.22413793,0.700084848,2.8,74,0
2013/2/20,SIHD,10,50.31627907,75.27941176,109.0447761,43.5978836,22.97409326,0.939188235,4.7,59,0
2013/2/21,SIHD,8,60.2625,84.67083333,119.0277778,34.30660377,22.43518519,0.809692708,7,60,0
2013/2/22,SIHD,10,86.51282051,103.7783505,114.4305556,69.58095238,27.07407407,1.014005208,8.2,72,0
2013/2/23,SIHD,12,155.1403509,173.2428571,107.1805556,79.7815534,38.43478261,1.39498913,7.9,74,1
2013/2/24,SIHD,13,85.98290598,96.12280702,128.3611111,33.02857143,19.56666667,0.840311828,9.6,65,1
2013/2/25,SIHD,12,29.55,36.984375,116,37.12962963,10.53240741,0.665578125,11.5,85,0
2013/2/26,SIHD,11,35.01769912,42.72131148,75.26388889,50.0531401,12.75242718,0.946521739,11.3,89,0
2013/2/27,SIHD,11,34.3164557,47.00552486,98.56944444,41.53240741,13.33333333,0.695984375,9.8,78,0
2013/2/28,SIHD,9,54.12916667,71.23181818,110.5138889,43.43661972,16.6682243,0.763614583,12.5,69,0
2013/3/1,SIHD,5,49.54811715,74.38071066,116.6805556,33.5971564,14.21395349,0.791678049,7.3,72,0
2013/3/2,SIHD,8,21.41666667,53.26666667,95.23611111,22.77777778,13.4212963,0.475175926,3.8,56,1
2013/3/3,SIHD,4,62.19130435,89.85585586,92.33333333,64.50243902,36.39130435,0.901652174,5.3,52,1
2013/3/4,SIHD,7,120.4375,185.0732759,97.94444444,95.04166667,56.51851852,1.309935185,10.2,54,0
2013/3/5,SIHD,7,150.0708333,224.6333333,123.2083333,85.72222222,46.38425926,1.356648148,11.6,63,0
2013/3/6,SIHD,8,86.39316239,168.8247863,155.5972222,77.7,32.05769231,0.987928571,15.4,42,0
2013/3/7,SIHD,9,151.8981481,254.0328638,160.8472222,95.42631579,57.36979167,1.394097297,16.8,50,0
2013/3/8,SIHD,5,160.6064815,247.2232558,150.5625,108.9005236,48.02094241,1.68427381,18.7,45,0
2013/3/9,SIHD,8,125.3904762,189.2966507,193.765625,92.31182796,43.30645161,1.408938272,22.2,39,1
2013/3/10,SIHD,11,47.12254902,142.6551724,217.921875,26.61111111,13.36666667,0.826467949,8.4,62,1
2013/3/11,SIHD,8,21.46491228,44.71052632,89.45070423,45.13930348,13.77560976,0.790574586,7.2,74,0
2013/3/12,SIHD,14,44.50442478,77.79090909,102.5972222,48.140625,18.02487562,0.969870787,14.7,67,0
2013/3/13,SIHD,6,45.7257384,65.29370629,109.4166667,39.58962264,15.85648148,1.018677083,7.7,75,0
2013/3/14,SIHD,8,25.96860987,47.44594595,94.29166667,32.35748792,14.63285024,0.713755435,5.4,62,0
2013/3/15,SIHD,10,37.125,55.29059829,102.0277778,43.62149533,14.14351852,0.846435484,8.3,70,0
2013/3/16,SIHD,10,48.63559322,67.08064516,111.5555556,52.35046729,17.38888889,0.781338542,12.6,76,1
2013/3/17,SIHD,12,53.50761421,62.80232558,92,51.83240223,14.58888889,1.00160625,14.8,85,1
2013/3/18,SIHD,12,48.80909091,75.02777778,70.22222222,57.14141414,25.64646465,1.358011364,15.2,70,0
2013/3/19,SIHD,14,70.7,87.85714286,NA,49.22222222,24.44444444,1.470875,17,62,0
2013/3/20,SIHD,11,54.52142857,66.6302521,NA,36.52631579,17.15037594,1.470875,9.7,73,0
2013/3/21,SIHD,7,23.74782609,44.96521739,NA,32.35652174,15.18695652,NA,7.7,59,0
2013/3/22,SIHD,7,67.7,77.82,NA,51.93809524,23.09047619,NA,12.5,76,0
2013/3/23,SIHD,11,56.48947368,73.54210526,NA,35.12105263,13.95263158,NA,9.9,80,1
2013/3/24,SIHD,11,66.1588785,72.43877551,NA,37.70616114,11.68720379,0.950722222,9.4,82,1
2013/3/25,SIHD,14,52.57142857,65.7414966,91.85714286,29.86394558,16.02040816,0.797746032,7,57,0
2013/3/26,SIHD,4,17.88304094,35.03067485,71.2173913,33.61643836,12.6442953,0.676845588,8,65,0
2013/3/27,SIHD,12,49.98823529,69.13461538,30.53488372,59.0472973,18.65540541,0.830702703,9.9,77,0
2013/3/28,SIHD,8,75.21693122,97.31428571,89.03125,59.14457831,24.63473054,0.947720238,12.6,73,0
2013/3/29,SIHD,9,35.93706294,56.77692308,86.58928571,41.34375,15.3203125,0.7323125,10,70,0
2013/3/30,SIHD,13,26.07731959,52.8042328,94.8125,41.22093023,14.81976744,0.669482558,12.1,58,1
2013/3/31,SIHD,7,33.21395349,50.8125,112.640625,29.42105263,13.78010471,0.67878534,10.2,71,1
2013/4/1,SIHD,4,53.552,84.192,105.877193,48.38317757,20.64545455,0.852845455,13.4,66,0
